이름,초기 별,종족,공격력,공격속도,공격범위,최대 HP,이동속도,공격 타입,광역공격,비용
견습전사,1,Human,15,1.2,1.2,120,1.1,Melee,아니오,1
견습궁수,1,Human,12,1.0,2.5,80,1.0,Ranged,아니오,1
견습마법사,1,Human,10,0.8,3.0,70,0.9,LongRange,예,2
수련기사,1,Human,18,0.9,1.2,150,0.8,Melee,아니오,2
고블린전사,1,Orc,20,1.1,1.2,110,1.2,Melee,아니오,1
고블린궁수,1,Orc,14,1.3,2.0,75,1.1,Ranged,아니오,1
고블린주술사,1,Orc,11,0.7,3.2,65,0.9,LongRange,예,2
오크정찰병,1,Orc,16,1.0,1.5,130,1.0,Melee,아니오,2
엘프검사,1,Elf,13,1.5,1.2,90,1.3,Melee,아니오,1
엘프사수,1,Elf,11,1.2,3.0,70,1.1,Ranged,아니오,1
엘프드루이드,1,Elf,9,0.9,2.8,85,1.0,LongRange,예,2
엘프순찰자,1,Elf,14,1.3,2.0,100,1.2,Ranged,아니오,2
