이름,초기 별,종족,공격력,공격속도,공격범위,최대 HP,이동속도,공격 타입,광역공격,비용,가중치
다크 엔젤,3,Human,45,1.6,2.0,400,1.0,Melee,예,10,1
미치광대,3,Human,38,2.0,1.5,280,1.3,Melee,아니오,10,1
인형공주,3,Human,35,1.2,3.0,350,0.9,Ranged,예,10,1
성기사단장,3,Human,40,1.0,1.8,450,0.8,Melee,예,10,0.8
대마법사,3,Human,42,0.8,4.0,300,0.7,LongRange,예,10,0.8
예언자,3,Orc,50,1.3,3.5,300,0.9,Ranged,예,10,1
염라공주,3,Orc,55,1.0,4.0,360,0.8,LongRange,예,10,1
흑공주,3,Orc,48,1.5,2.8,330,1.0,Ranged,아니오,10,1
전쟁군주,3,Orc,52,1.1,1.5,420,0.9,Melee,예,10,0.8
피의술사,3,Orc,46,0.9,3.8,280,0.8,LongRange,예,10,0.8
큐피트,3,Elf,42,1.8,3.8,280,1.2,LongRange,아니오,10,1
꽃의 정령,3,Elf,45,1.0,3.5,320,1.0,Ranged,예,10,1
암흑 정령,3,Elf,43,1.3,3.2,350,1.1,Ranged,예,10,1
달빛무희,3,Elf,40,2.2,2.0,260,1.4,Melee,아니오,10,0.8
고대수호자,3,Elf,48,0.7,4.2,380,0.7,LongRange,예,10,0.8
