이름,초기 별,종족,공격력,공격속도,공격범위,최대 HP,이동속도,공격 타입,광역공격,비용,가중치
낭만검객,2,Human,20,1.5,1.2,320,3,Melee,아니오,10,1
남자 위치,2,Human,26,1.1,3.2,180,3,Ranged,예,10,1
캐논슈터,2,Human,34,0.85,3.8,220,3,Ranged,예,10,1
방패기사,2,Human,13,0.95,1.1,480,3,Melee,아니오,10,1
오크법사,2,Orc,30,1,3.3,180,3,Ranged,예,10,0.5
폭격기,2,Orc,38,0.7,3.8,230,3,Ranged,예,10,0.5
완드스타,2,Orc,28,1.1,3,170,3,Ranged,아니오,10,0.5
눈물바다,2,Elf,19,1.7,1.2,250,3,Melee,아니오,10,0.5
홀릭,2,Elf,24,1.2,2.5,200,3,Ranged,아니오,10,0.5
환각법사,2,Elf,32,0.9,3.5,180,3,Ranged,예,10,0.5
낭만검객,2,Human,20,1.5,1.2,320,3,Melee,아니오,10,0.5
남자 위치,2,Human,26,1.1,3.2,180,3,Ranged,예,10,0.5
캐논슈터,2,Human,34,0.85,3.8,220,3,Ranged,예,10,0.5
방패기사,2,Human,13,0.95,1.1,480,3,Melee,아니오,10,0.5
오크법사,2,Orc,30,1,3.3,180,3,Ranged,예,10,1
폭격기,2,Orc,38,0.7,3.8,230,3,Ranged,예,10,1
완드스타,2,Orc,28,1.1,3,170,3,Ranged,아니오,10,1
눈물바다,2,Elf,19,1.7,1.2,250,3,Melee,아니오,10,0.5
홀릭,2,Elf,24,1.2,2.5,200,3,Ranged,아니오,10,0.5
환각법사,2,Elf,32,0.9,3.5,180,3,Ranged,예,10,0.5
낭만검객,2,Human,20,1.5,1.2,320,3,Melee,아니오,10,0.5
남자 위치,2,Human,26,1.1,3.2,180,3,Ranged,예,10,0.5
캐논슈터,2,Human,34,0.85,3.8,220,3,Ranged,예,10,0.5
방패기사,2,Human,13,0.95,1.1,480,3,Melee,아니오,10,0.5
오크법사,2,Orc,30,1,3.3,180,3,Ranged,예,10,0.5
폭격기,2,Orc,38,0.7,3.8,230,3,Ranged,예,10,0.5
완드스타,2,Orc,28,1.1,3,170,3,Ranged,아니오,10,0.5
눈물바다,2,Elf,19,1.7,1.2,250,3,Melee,아니오,10,1
홀릭,2,Elf,24,1.2,2.5,200,3,Ranged,아니오,10,1
환각법사,2,Elf,32,0.9,3.5,180,3,Ranged,예,10,1
