이름,초기 별,종족,공격력,공격속도,공격범위,최대 HP,이동속도,공격 타입,광역공격,비용,가중치
낭만검객,2,Human,30,1.5,1.2,320,1.2,Melee,아니오,10,1
남자 위치,2,Human,26,1.1,3.2,180,1.0,Ranged,예,10,1
캐논슈터,2,Human,34,0.85,3.8,220,0.8,Ranged,예,10,1
방패기사,2,Human,20,0.95,1.1,480,0.7,Melee,아니오,10,1
성전사,2,Human,28,1.2,1.3,350,0.9,Melee,아니오,10,0.8
마법검사,2,Human,32,1.0,2.0,280,1.0,Melee,예,10,0.8
오크법사,2,Orc,30,1.0,3.3,180,0.9,Ranged,예,10,1
폭격기,2,Orc,38,0.7,3.8,230,0.8,Ranged,예,10,1
완드스타,2,Orc,28,1.1,3.0,170,1.0,Ranged,아니오,10,1
버서커,2,Orc,35,1.3,1.2,300,1.1,Melee,예,10,0.8
샤먼,2,Orc,25,0.9,3.5,200,0.9,LongRange,예,10,0.8
눈물바다,2,Elf,25,1.7,1.2,250,1.3,Melee,아니오,10,1
홀릭,2,Elf,24,1.2,2.5,200,1.1,Ranged,아니오,10,1
환각법사,2,Elf,32,0.9,3.5,180,1.0,Ranged,예,10,1
월광사수,2,Elf,28,1.4,3.0,190,1.2,LongRange,아니오,10,0.8
자연수호자,2,Elf,22,1.0,2.8,280,0.9,Ranged,예,10,0.8
