id,name,jobClass,level,rarity,baseHP,baseMP,baseAttack,baseDefense,baseMagicPower,critRate,critDamage,accuracy,evasion,skill1Id,description
CHAR101,철혈의 로젤리아,Warrior,1,Epic,1440,120,180,120,36,10.0,165.0,95.0,5.0,SKILL_W001,강인한 체력과 힘으로 전장을 지배하는 여전사
CHAR102,폭풍의 카트리나,Warrior,1,Rare,1320,110,165,110,33,8.0,160.0,94.0,6.0,SKILL_W004,폭풍처럼 거센 전투를 즐기는 광전사
CHAR103,성기사 세라피나,Knight,1,Epic,1560,180,108,225,72,7.0,152.0,97.0,4.0,SKILL_K001,신성한 빛으로 아군을 수호하는 여기사
CHAR104,수호자 발레리아,Knight,1,Rare,1430,165,99,210,66,5.0,145.0,96.0,3.0,SKILL_K004,철벽같은 방어로 동료를 지키는 수호기사
CHAR105,원소술사 엘레노라,Wizard,1,Epic,560,600,40,56,300,13.0,175.0,98.0,7.0,SKILL_M001,4원소를 자유자재로 다루는 대마법사
CHAR106,시공술사 크리스티나,Wizard,1,Legendary,630,650,45,63,330,15.0,180.0,99.0,8.0,SKILL_M004,시간과 공간을 조작하는 전설의 마법사
CHAR107,대사제 안젤리카,Priest,1,Epic,850,525,50,80,300,8.0,135.0,99.0,8.0,SKILL_P001,생명의 기적을 행하는 성스러운 사제
CHAR108,치유사 루시아나,Priest,1,Rare,765,480,45,72,270,6.0,130.0,98.0,7.0,SKILL_P004,빛의 축복으로 상처를 치유하는 성직자
CHAR109,그림자 나타샤,Rogue,1,Epic,680,160,196,72,96,20.0,185.0,96.0,22.0,SKILL_R001,어둠 속을 누비는 은밀한 암살자
CHAR110,질풍의 실비아,Rogue,1,Rare,595,140,182,66,88,18.0,180.0,95.0,20.0,SKILL_R004,바람처럼 빠르고 날렵한 도적
CHAR111,대현자 미네르바,Sage,1,Legendary,1200,360,150,108,240,17.0,165.0,98.0,15.0,SKILL_S001,지혜와 힘을 겸비한 전설의 여현자
CHAR112,지혜의 소피아,Sage,1,Epic,1000,300,130,99,216,14.0,160.0,97.0,13.0,SKILL_S004,모든 지식을 탐구하는 현명한 현자
CHAR113,신궁 아르테미시아,Archer,1,Epic,810,200,130,96,96,16.0,165.0,99.9,18.0,SKILL_A001,절대 빗나가지 않는 전설의 여궁수
CHAR114,바람궁수 실바나,Archer,1,Rare,720,180,120,88,88,14.0,160.0,98.0,16.0,SKILL_A004,자연의 가호를 받은 엘프 궁수
CHAR115,명사수 빅토리아,Gunner,1,Legendary,750,100,225,90,50,22.0,200.0,99.9,10.0,SKILL_G001,한 발로 적을 제압하는 전설의 저격수
CHAR116,쌍권총 카밀라,Gunner,1,Epic,675,90,210,81,45,20.0,190.0,98.0,9.0,SKILL_G004,양손의 권총으로 화려한 사격술을 선보이는 여총잡이
