ID,CharacterName,DialogueText,Position,Expression,Effect,Duration,NextID,Background,BGM,SFX
1,길드장,"드디어 우리만의 길드를 창설했어!",Left,Happy,FadeIn,0,2,GuildHall,MainTheme,
2,비서,"축하드립니다, 길드장님! 오늘부터 저도 함께 하겠습니다.",Right,Normal,,0,3,GuildHall,,
3,길드장,"앞으로 잘 부탁해! 최고의 길드를 만들어보자!",Left,Happy,Shake,0,4,GuildHall,,Cheer
4,비서,"네! 먼저 모험가들을 모집해야겠어요.",Right,Normal,,0,5,GuildHall,,
5,비서,"그리고 훈련소도 건설해야 합니다.",Right,Normal,,0,6,GuildHall,,
6,길드장,"좋아! 하나씩 차근차근 해나가자!",Left,Normal,,0,7,GuildHall,,
7,,"[튜토리얼 시작]",,,,3,8,GuildHall,,Tutorial
8,비서,"먼저 건물을 건설하는 방법을 알려드릴게요.",Right,Happy,,0,9,GuildHall,,
9,비서,"길드 홀 주변 빈 공간을 클릭하면 건물을 건설할 수 있어요.",Right,Normal,,0,10,GuildHall,,Click
10,길드장,"알겠어! 바로 해볼게!",Left,Normal,,0,,GuildHall,,
