이름,초기 별,종족,공격력,공격속도,공격범위,최대 HP,이동속도,공격 타입,광역공격,비용
적_견습전사,1,Human,14,1.1,1.2,110,1.0,Melee,아니오,1
적_견습궁수,1,Human,11,0.9,2.5,75,0.9,Ranged,아니오,1
적_견습마법사,1,Human,9,0.7,3.0,65,0.8,LongRange,예,2
적_수련기사,1,Human,17,0.8,1.2,140,0.7,Melee,아니오,2
적_고블린전사,1,Orc,19,1.0,1.2,100,1.1,Melee,아니오,1
적_고블린궁수,1,Orc,13,1.2,2.0,70,1.0,Ranged,아니오,1
적_고블린주술사,1,Orc,10,0.6,3.2,60,0.8,LongRange,예,2
적_오크정찰병,1,Orc,15,0.9,1.5,120,0.9,Melee,아니오,2
적_엘프검사,1,Elf,12,1.4,1.2,85,1.2,Melee,아니오,1
적_엘프사수,1,Elf,10,1.1,3.0,65,1.0,Ranged,아니오,1
적_엘프드루이드,1,Elf,8,0.8,2.8,80,0.9,LongRange,예,2
적_엘프순찰자,1,Elf,13,1.2,2.0,95,1.1,Ranged,아니오,2
