이름,초기 별,종족,공격력,공격속도,공격범위,최대 HP,이동속도,공격 타입,광역공격,비용,가중치
다크 엔젤,3,Human,40,1.6,2,400,3,Melee,예,10,1
미치광대,3,Human,32,2,1.5,280,3,Melee,아니오,10,1
인형공주,3,Human,30,1.2,3,350,3,Ranged,예,10,1
예언자,3,Orc,45,1.3,3.5,300,3,Ranged,예,10,0.5
염라공주,3,Orc,48,1,4,360,3,LongRange,예,10,0.5
흑공주,3,Orc,42,1.5,2.8,330,3,Ranged,아니오,10,0.5
큐피트,3,Elf,36,1.8,3.8,280,3,LongRange,아니오,10,0.5
꽃의 정령,3,Elf,40,1,3.5,320,3,Ranged,예,10,0.5
암흑 정령,3,Elf,38,1.3,3.2,350,3,Ranged,예,10,0.5
다크 엔젤,3,Human,40,1.6,2,400,3,Melee,예,10,0.5
미치광대,3,Human,32,2,1.5,280,3,Melee,아니오,10,0.5
인형공주,3,Human,30,1.2,3,350,3,Ranged,예,10,0.5
예언자,3,Orc,45,1.3,3.5,300,3,Ranged,예,10,1
염라공주,3,Orc,48,1,4,360,3,LongRange,예,10,1
흑공주,3,Orc,42,1.5,2.8,330,3,Ranged,아니오,10,1
큐피트,3,Elf,36,1.8,3.8,280,3,LongRange,아니오,10,0.5
꽃의 정령,3,Elf,40,1,3.5,320,3,Ranged,예,10,0.5
암흑 정령,3,Elf,38,1.3,3.2,350,3,Ranged,예,10,0.5
다크 엔젤,3,Human,40,1.6,2,400,3,Melee,예,10,0.5
미치광대,3,Human,32,2,1.5,280,3,Melee,아니오,10,0.5
인형공주,3,Human,30,1.2,3,350,3,Ranged,예,10,0.5
예언자,3,Orc,45,1.3,3.5,300,3,Ranged,예,10,0.5
염라공주,3,Orc,48,1,4,360,3,LongRange,예,10,0.5
흑공주,3,Orc,42,1.5,2.8,330,3,Ranged,아니오,10,0.5
큐피트,3,Elf,36,1.8,3.8,280,3,LongRange,아니오,10,1
꽃의 정령,3,Elf,40,1,3.5,320,3,Ranged,예,10,1
암흑 정령,3,Elf,38,1.3,3.2,350,3,Ranged,예,10,1
