이름,초기 별,종족,공격력,공격속도,공격범위,최대 HP,이동속도,공격 타입,광역공격,비용,가중치
적_낭만검객,2,Human,28,1.4,1.2,300,1.1,Melee,아니오,10,1
적_남자 위치,2,Human,24,1.0,3.2,170,0.9,Ranged,예,10,1
적_캐논슈터,2,Human,32,0.8,3.8,200,0.7,Ranged,예,10,1
적_방패기사,2,Human,18,0.9,1.1,450,0.6,Melee,아니오,10,1
적_성전사,2,Human,26,1.1,1.3,330,0.8,Melee,아니오,10,0.8
적_마법검사,2,Human,30,0.9,2.0,260,0.9,Melee,예,10,0.8
적_오크법사,2,Orc,28,0.9,3.3,170,0.8,Ranged,예,10,1
적_폭격기,2,Orc,36,0.65,3.8,210,0.7,Ranged,예,10,1
적_완드스타,2,Orc,26,1.0,3.0,160,0.9,Ranged,아니오,10,1
적_버서커,2,Orc,33,1.2,1.2,280,1.0,Melee,예,10,0.8
적_샤먼,2,Orc,23,0.85,3.5,190,0.8,LongRange,예,10,0.8
적_눈물바다,2,Elf,23,1.6,1.2,230,1.2,Melee,아니오,10,1
적_홀릭,2,Elf,22,1.1,2.5,190,1.0,Ranged,아니오,10,1
적_환각법사,2,Elf,30,0.85,3.5,170,0.9,Ranged,예,10,1
적_월광사수,2,Elf,26,1.3,3.0,180,1.1,LongRange,아니오,10,0.8
적_자연수호자,2,Elf,20,0.9,2.8,260,0.8,Ranged,예,10,0.8
