ID,CharacterName,DialogueText,Position,Expression,Effect,Duration,NextID,Background,BGM,SFX
1,아서 레오하트,(지도 위에 놓인 붉은 표식들을 보며 깊은 한숨을 쉰다) ...또 하나의 마을이 연락 두절됐군. 이 혹한은 몬스터뿐만 아니라 우리의 희망마저 얼어붙게 만드는구나.,Right,sad,,3,2,길드사무실,melancholy_winter,sigh
2,엘리아스 밴스,(냉철한 목소리로) 마스터 감상은 잠시 접어두시죠. 중요한 건 데이터입니다. 몬스터들의 공격 패턴이 조직적으로 변하고 있습니다. 마치 배후에 지능을 가진 존재가 있는 것처럼. 더 강력한 방벽과 자동화된 방어 포탑 증설이 시급합니다.,Left,serious,,4,3,길드사무실,melancholy_winter,
3,아서 레오하트,...자세히 말해보게.,Right,curious,,2,4,길드사무실,melancholy_winter,
4,정찰대원,그들 역시 '통곡의 겨울'의 피해자였습니다. 자신들의 사냥터는 얼어붙었고 더 포악한 '서리 비룡(Frost-Wyrm)' 떼에게 쫓겨 살 곳을 잃었다고 했습니다. 그들의 지도자인 '그라크'라는 늙은 오우거는... 그저 자신들의 부족이 남쪽의 따뜻한 땅으로 지나갈 수 있도록 길을 열어달라고 간청했습니다.,Left,fearful,shake,5,5,길드사무실,tension_rising,
5,엘리아스 밴스,(코웃음을 친다) 말도 안 돼. 오우거는 멍청하고 포악한 몬스터일 뿐이다. 함정이겠지.,Left,mocking,,3,6,길드사무실,tension_rising,laugh
6,아서 레오하트,(좌중을 둘러보며 조용하지만 힘 있는 목소리로) 그렇다면 묻겠소. 우리가 그들과 다른 점이 무엇이오? 우리 역시 생존을 위해 벽을 쌓고 벽 밖에 있는 모든 것을 적으로 돌리고 있소. 만약 저들이 우리처럼 생각하고 우리처럼 두려워하고 우리처럼 자식을 걱정한다면... 그때도 그들은 그저 '괴물'일 뿐이오?,Right,determined,,6,7,의회장,epic_speech,
7,시 의원 1,미쳤소 아서 경! 저 괴물들을 우리 집 문 앞까지 끌어들이자는 말이오? 내 아들이 저런 놈들에게 죽었소!,Left,angry,slam,3,8,의회장,angry_debate,slam
8,엘리아스 밴스,통계적으로도 불가능한 제안입니다. 오우거들의 식량 요구량 이동 속도 그리고 잠재적 적대 행위 가능성을 고려했을 때 위험 부담이 97.4%에 달합니다. 그들의 말이 사실이라 해도 굶주린 괴물은 결국 괴물일 뿐입니다.,Left,analytical,,4,9,의회장,angry_debate,
9,그라크,(고대 거인족의 언어로 띄엄띄엄) ...인간의 우두머리. 정말... 왔군.,Left,cautious,,3,10,잿빛산맥,mysterious_encounter,footsteps
10,아서 레오하트,대화에는 무기가 필요 없다고 들었소. 이건 우리 길드가 주는 작은 성의라오.,Right,peaceful,,3,11,잿빛산맥,mysterious_encounter,
