이름,초기 별,종족,공격력,공격속도,공격범위,최대 HP,이동속도,공격 타입,광역공격,비용
EnemyChar_0,1,Human,10,1,1.5,110,1,Ranged,아니오,1
EnemyChar_1,1,Human,6,1,1.5,110,1,LongRange,아니오,2
EnemyChar_2,1,Human,30,1,1.5,110,1,Melee,아니오,3
EnemyChar_3,1,Human,12,1,1.5,110,1,LongRange,예,1
EnemyChar_4,1,Orc,21,1,1.5,110,1,LongRange,예,2
EnemyChar_5,1,Orc,13,1,1.5,110,1,LongRange,아니오,3
EnemyChar_6,1,Orc,31,1,1.5,110,1,Ranged,예,1
EnemyChar_7,1,Elf,13,1,1.5,110,1,LongRange,아니오,2
EnemyChar_8,1,Elf,13,1,1.5,110,1,LongRange,아니오,3
EnemyChar_9,1,Elf,13,1,1.5,110,1,LongRange,아니오,1 
